"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Gentiana cruciata","Kreuz-Enzian,Gentiana cruciata subsp. cruciata","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/kreuz-enzian-gentiana-cruciata.html"
"Gentiana lutea","Gelber Enzian","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gelber-enzian-gentiana-lutea.html"
"Gentiana pneumonanthe","Lungen-Enzian","Staudengärtnerei StaudenSpatz",NA
"Gentiana verna","Frühlings-Enzian,Schusternagerl, Himmelsbläueli","Staudengärtnerei StaudenSpatz",NA
"Gentianella germanica","Deutscher Kranzenzian,Deutscher Fransenenzian","Staudengärtnerei StaudenSpatz",NA
"Gladiolus palustris","Sumpf-Siegwurz,Sumpf-Gladiole","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/sumpf-gladiole-sumpf-siegwurz-gladiolus-palustris.html"
"Globularia punctata","Echte Kugelblume","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliche-kugelblume-globularia-punctata.html"
"Gratiola officinalis","Gottes-Gnadenkraut,Sumpfgnadenkraut","Staudengärtnerei StaudenSpatz",NA
"Gymnadenia conopsea","Große Händelwurz,Mücken-Händelwurz","Staudengärtnerei StaudenSpatz",NA
"Gypsophila muralis","Mauer-Gipskraut,Acker-Gipskraut","Staudengärtnerei StaudenSpatz",NA
"Gypsophila repens","Kriechendes Gipskraut","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/polster-schleierkraut-gypsophila-repens.html"
"Helianthemum canum","Graues Sonnenröschen","Staudengärtnerei StaudenSpatz",NA
"Helianthemum nummularium","Gelbes Sonnenröschen,Gewöhnliches Sonnenröschen","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliches-sonnenroeschen-helianthemum-nummularium.html"
"Helichrysum arenarium","Sand-Strohblume","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/sandkraut-helichrysum-arenarium.html"
"Helleborus viridis","Grüne Niewswurz","Staudengärtnerei StaudenSpatz",NA
"Hieracium bauhini","Ungarisches Habichtskraut","Staudengärtnerei StaudenSpatz",NA
"Hieracium hoppeanum","Hoppes Habichtskraut","Staudengärtnerei StaudenSpatz",NA
"Hieracium lactucella","Geöhrtes Habichtskraut","Staudengärtnerei StaudenSpatz",NA
"Hierochloe odorata","Duftendes Mariengras","Staudengärtnerei StaudenSpatz",NA
"Hippocrepis emerus","Strauchwicke,Strauchkronwicke","Staudengärtnerei StaudenSpatz",NA
"Hippuris vulgaris","Gewöhnlicher Tannenwedel,Gemeiner Tannenwedel","Staudengärtnerei StaudenSpatz",NA
"Homogyne alpina","Gewöhnlicher Alpenlattich","Staudengärtnerei StaudenSpatz",NA
"Hottonia palustris","Wasserfeder,Wasserprimel","Staudengärtnerei StaudenSpatz",NA
"Hydrocharis morsus-ranae","Europäischer Froschbiss","Staudengärtnerei StaudenSpatz",NA
"Hydrocotyle vulgaris","Gewöhnlicher Wassernabel","Staudengärtnerei StaudenSpatz",NA
"Hyoscyamus niger","Schwarzes Bilsenkraut","Staudengärtnerei StaudenSpatz",NA
"Hypochaeris glabra","Kahles Ferkelkraut","Staudengärtnerei StaudenSpatz",NA
"Hypochaeris maculata","Geflecktes Ferkelkraut","Staudengärtnerei StaudenSpatz",NA
"Hyssopus officinalis","Ysop","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/ysop-hyssopus-officinalis.html"
"Hyssopus officinalis","Ysop","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/ysop-rosea-hyssopus-officinalis-rosea.html"
"Iberis amara","Bittere Schleifenblume","Staudengärtnerei StaudenSpatz",NA
"Inula britannica","Wiesen-Alant","Staudengärtnerei StaudenSpatz",NA
"Inula hirta","Rauer Alant","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/rauhaariger-alant-inula-hirta.html"
"Iris germanica","Deutsche Schwertlilie,Bart-Iris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/weinberg-iris-iris-germanica-ssp-spectabilis.html"
"Iris sibirica","Sibirische Schwertlilie,Wiesen-Schwertlilie, Blaue Schwertlilie","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/sibirische-wiesen-iris-iris-sibirica.html"
"Iris variegata","Bunte Schwertlilie","Staudengärtnerei StaudenSpatz",NA
"Jasione laevis","Ausdauerndes Sandglöckchen","Staudengärtnerei StaudenSpatz",NA
"Jasione montana","Berg-Sandglöckchen,Schafrapunzel","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-sandgloeckchen-jasione-montana.html"
"Juncus subnodulosus","Stumpfblütige Binse","Staudengärtnerei StaudenSpatz",NA
"Koeleria glauca","Blaugraue Kammschmiele,Schillergras","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/schillergras-koeleria-glauca.html"
"Lactuca perennis","Blauer Lattich","Staudengärtnerei StaudenSpatz",NA
"Lactuca virosa","Gift-Lattich","Staudengärtnerei StaudenSpatz",NA
"Laserpitium prutenicum","Preußisches Laserkraut","Staudengärtnerei StaudenSpatz",NA
"Laserpitium siler","Berg-Laserkraut,Bergkümmel","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-laserkraut-laserpitium-siler.html"
"Lathyrus aphaca","Ranken-Platterbse","Staudengärtnerei StaudenSpatz",NA
"Lathyrus heterophyllus","Verschiedenblättrige Platterbs","Staudengärtnerei StaudenSpatz",NA
"Lathyrus palustris","Sumpf-Platterbse","Staudengärtnerei StaudenSpatz",NA
"Ledum palustre","Sumpf-Porst","Staudengärtnerei StaudenSpatz",NA
"Legousia speculum-veneris","Venus-Frauenspiegel","Staudengärtnerei StaudenSpatz",NA
"Leucojum vernum","Märzenbecher","Staudengärtnerei StaudenSpatz",NA
"Linaria alpina","Alpen-Leinkraut","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/alpen-leinkraut-linaria-alpina.html"
"Linaria alpina","Alpen-Leinkraut","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/niedriges-leinkraut-neon-lights-linaria-alpina-neon-lights.html"
"Linum flavum","Gelber Lein","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gelber-lein-linum-flavum.html"
"Linum perenne","Blauer Lein,Dauerlein, Stauden-Lein","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/staudenlein-linum-perenne.html"
"Linum perenne","Blauer Lein,Dauerlein, Stauden-Lein","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/weisser-staudenlein-linum-perenne-nanum-album-diamant.html"
"Linum tenuifolium","Schmalblättriger Lein","Staudengärtnerei StaudenSpatz",NA
"Lithospermum officinale","Echter Steinsame","Staudengärtnerei StaudenSpatz",NA
"Lolium temulentum","Taumel-Lolch,Rauschgras, Schwindelweizen,","Staudengärtnerei StaudenSpatz",NA
