"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Descurainia sophia","Gewöhnliche Besenrauke","Hof Berg-Garten",NA
"Dianthus armeria","Raue Nelke,Büschel-Nelke","Hof Berg-Garten",NA
"Dianthus carthusianorum","Karthäuser-Nelke","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/dianthus-carthusianorum-saatgut-kaufen-wildblumen-saatgut-kaufen.html"
"Dianthus carthusianorum","Karthäuser-Nelke","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/dianthus-carthusianorum-626-wildpflanze-naturnah.html"
"Dianthus deltoides","Heide-Nelke","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/dianthus-deltoides-saatgut-kaufen.html"
"Dianthus deltoides","Heide-Nelke","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/dianthus-deltoides-627-wildpflanze-naturnah.html"
"Dianthus gratianopolitanus","Pfingst-Nelke,Grenobler Nelke","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/dianthus-gratianopolitanus-wildpflanze-naturnah.html"
"Dianthus superbus","Pracht-Nelke","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/dianthus-superbus-saatgut-kaufen.html"
"Dianthus superbus","Pracht-Nelke","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/dianthus-superbus-630-wildpflanze-naturnah.html"
"Dictamnus albus","Diptam","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/dictamnus-albus-saatgut-kaufen.html"
"Dictamnus albus","Diptam","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/dictamnus-albus-632-wildpflanze-naturnah.html"
