"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Gratiola officinalis","Gottes-Gnadenkraut,Sumpfgnadenkraut","Blauetikett Bornträger",NA
"Gymnadenia conopsea","Große Händelwurz,Mücken-Händelwurz","Blauetikett Bornträger",NA
"Gypsophila muralis","Mauer-Gipskraut,Acker-Gipskraut","Blauetikett Bornträger",NA
"Gypsophila repens","Kriechendes Gipskraut","Blauetikett Bornträger",NA
"Helianthemum canum","Graues Sonnenröschen","Blauetikett Bornträger",NA
"Helianthemum nummularium","Gelbes Sonnenröschen,Gewöhnliches Sonnenröschen","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/helianthemum-nummularium-sonnenr-schen.html"
"Helichrysum arenarium","Sand-Strohblume","Blauetikett Bornträger",NA
"Helleborus viridis","Grüne Niewswurz","Blauetikett Bornträger",NA
"Hieracium bauhini","Ungarisches Habichtskraut","Blauetikett Bornträger",NA
"Hieracium hoppeanum","Hoppes Habichtskraut","Blauetikett Bornträger",NA
"Hieracium lactucella","Geöhrtes Habichtskraut","Blauetikett Bornträger",NA
"Hierochloe odorata","Duftendes Mariengras","Blauetikett Bornträger",NA
"Hippocrepis emerus","Strauchwicke,Strauchkronwicke","Blauetikett Bornträger",NA
"Hippuris vulgaris","Gewöhnlicher Tannenwedel,Gemeiner Tannenwedel","Blauetikett Bornträger",NA
"Homogyne alpina","Gewöhnlicher Alpenlattich","Blauetikett Bornträger",NA
"Hottonia palustris","Wasserfeder,Wasserprimel","Blauetikett Bornträger",NA
"Hydrocharis morsus-ranae","Europäischer Froschbiss","Blauetikett Bornträger",NA
"Hydrocotyle vulgaris","Gewöhnlicher Wassernabel","Blauetikett Bornträger",NA
"Hyoscyamus niger","Schwarzes Bilsenkraut","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/hyoscyamus-niger-bilsenkraut.html"
"Hypochaeris glabra","Kahles Ferkelkraut","Blauetikett Bornträger",NA
"Hypochaeris maculata","Geflecktes Ferkelkraut","Blauetikett Bornträger",NA
"Hyssopus officinalis","Ysop","Blauetikett Bornträger",NA
"Iberis amara","Bittere Schleifenblume","Blauetikett Bornträger",NA
"Inula britannica","Wiesen-Alant","Blauetikett Bornträger",NA
"Inula hirta","Rauer Alant","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/inula-hirta-rauher-alant.html"
"Iris germanica","Deutsche Schwertlilie,Bart-Iris","Blauetikett Bornträger",NA
"Iris sibirica","Sibirische Schwertlilie,Wiesen-Schwertlilie, Blaue Schwertlilie","Blauetikett Bornträger",NA
"Iris variegata","Bunte Schwertlilie","Blauetikett Bornträger",NA
"Jasione laevis","Ausdauerndes Sandglöckchen","Blauetikett Bornträger",NA
"Jasione montana","Berg-Sandglöckchen,Schafrapunzel","Blauetikett Bornträger",NA
"Juncus subnodulosus","Stumpfblütige Binse","Blauetikett Bornträger",NA
"Koeleria glauca","Blaugraue Kammschmiele,Schillergras","Blauetikett Bornträger",NA
"Lactuca perennis","Blauer Lattich","Blauetikett Bornträger",NA
"Lactuca virosa","Gift-Lattich","Blauetikett Bornträger",NA
"Laserpitium prutenicum","Preußisches Laserkraut","Blauetikett Bornträger",NA
"Laserpitium siler","Berg-Laserkraut,Bergkümmel","Blauetikett Bornträger",NA
"Lathyrus aphaca","Ranken-Platterbse","Blauetikett Bornträger",NA
"Lathyrus heterophyllus","Verschiedenblättrige Platterbs","Blauetikett Bornträger",NA
"Lathyrus palustris","Sumpf-Platterbse","Blauetikett Bornträger",NA
"Ledum palustre","Sumpf-Porst","Blauetikett Bornträger",NA
"Legousia speculum-veneris","Venus-Frauenspiegel","Blauetikett Bornträger",NA
