"Species","Producer","URL"
"Carex vulpina","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carlina acaulis","Rieger-Hofmann",NA
"Carlina vulgaris","Rieger-Hofmann",NA
"Carum carvi","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Centaurea cyanus","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea jacea","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea montana","Rieger-Hofmann",NA
"Centaurea nigra","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea nigrescens","Rieger-Hofmann",NA
"Centaurea phrygia","Rieger-Hofmann",NA
"Centaurea pseudophrygia","Rieger-Hofmann",NA
"Centaurea scabiosa","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea stoebe","Rieger-Hofmann",NA
"Centaurium erythraea","Rieger-Hofmann",NA
"Cephalanthera damasonium","Rieger-Hofmann",NA
"Cerastium arvense","Rieger-Hofmann",NA
"Ceratophyllum demersum","Rieger-Hofmann",NA
"Ceratophyllum submersum","Rieger-Hofmann",NA
"Cerinthe minor","Rieger-Hofmann",NA
"Chaerophyllum aromaticum","Rieger-Hofmann",NA
"Chaerophyllum aureum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Chaerophyllum bulbosum","Rieger-Hofmann",NA
"Chaerophyllum hirsutum","Rieger-Hofmann",NA
"Chamaecytisus ratisbonensis","Rieger-Hofmann",NA
"Chamaecytisus supinus","Rieger-Hofmann",NA
"Chenopodium bonus-henricus","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Chenopodium foliosum","Rieger-Hofmann",NA
"Chenopodium hybridum","Rieger-Hofmann",NA
"Chondrilla juncea","Rieger-Hofmann",NA
"Chrysosplenium alternifolium","Rieger-Hofmann",NA
"Cicerbita alpina","Rieger-Hofmann",NA
"Cicerbita plumieri","Rieger-Hofmann",NA
"Cichorium intybus","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cicuta virosa","Rieger-Hofmann",NA
"Circaea lutetiana","Rieger-Hofmann",NA
"Cirsium acaule","Rieger-Hofmann",NA
"Cirsium acaulon","Rieger-Hofmann",NA
"Cirsium canum","Rieger-Hofmann",NA
"Cirsium eriophorum","Rieger-Hofmann",NA
"Cirsium oleraceum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cirsium palustre","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cirsium rivulare","Rieger-Hofmann",NA
"Cirsium tuberosum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cladium mariscus","Rieger-Hofmann",NA
"Clematis recta","Rieger-Hofmann",NA
"Clinopodium vulgare","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cochlearia officinalis","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Colchicum autumnale","Rieger-Hofmann",NA
"Colutea arborescens","Rieger-Hofmann",NA
"Comarum palustre","Rieger-Hofmann",NA
"Conium maculatum","Rieger-Hofmann",NA
"Consolida regalis","Rieger-Hofmann",NA
"Convallaria majalis","Rieger-Hofmann",NA
"Cornus mas","Rieger-Hofmann",NA
"Coronilla coronata","Rieger-Hofmann",NA
"Coronilla vaginalis","Rieger-Hofmann",NA
"Corydalis cava","Rieger-Hofmann",NA
"Corydalis intermedia","Rieger-Hofmann",NA
"Corydalis pumila","Rieger-Hofmann",NA
"Corydalis solida","Rieger-Hofmann",NA
"Corynephorus canescens","Rieger-Hofmann",NA
"Cotoneaster integerrimus","Rieger-Hofmann",NA
"Crambe maritima","Rieger-Hofmann",NA
"Crataegus laevigata","Rieger-Hofmann",NA
"Crataegus macrocarpa","Rieger-Hofmann",NA
"Crepis biennis","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Crepis paludosa","Rieger-Hofmann",NA
"Crepis tectorum","Rieger-Hofmann",NA
"Cruciata laevipes","Rieger-Hofmann",NA
"Cyclamen purpurascens","Rieger-Hofmann",NA
"Cymbalaria muralis","Rieger-Hofmann",NA
"Cynoglossum officinale","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cynosurus cristatus","Rieger-Hofmann",NA
"Cyperus longus","Rieger-Hofmann",NA
"Cystopteris fragilis","Rieger-Hofmann",NA
"Cytisus nigricans","Rieger-Hofmann",NA
"Dactylis polygama","Rieger-Hofmann",NA
"Dactylorhiza incarnata","Rieger-Hofmann",NA
"Dactylorhiza praetermissa","Rieger-Hofmann",NA
"Danthonia decumbens","Rieger-Hofmann",NA
"Daphne cneorum","Rieger-Hofmann",NA
"Daphne mezereum","Rieger-Hofmann",NA
"Descurainia sophia","Rieger-Hofmann",NA
"Dianthus arenarius","Rieger-Hofmann",NA
"Dianthus armeria","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Dianthus carthusianorum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Dianthus deltoides","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Dianthus gratianopolitanus","Rieger-Hofmann",NA
"Dianthus superbus","Rieger-Hofmann",NA
"Dichoropetalum carvifolia","Rieger-Hofmann",NA
"Dictamnus albus","Rieger-Hofmann",NA
"Digitalis grandiflora","Rieger-Hofmann",NA
"Digitalis lutea","Rieger-Hofmann",NA
"Dipsacus pilosus","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Doronicum pardalianches","Rieger-Hofmann",NA
"Draba aizoides","Rieger-Hofmann",NA
"Dracocephalum ruyschiana","Rieger-Hofmann",NA
"Dryas octopetala","Rieger-Hofmann",NA
"Dryopteris affinis","Rieger-Hofmann",NA
"Dryopteris carthusiana","Rieger-Hofmann",NA
"Dryopteris cristata","Rieger-Hofmann",NA
"Echinocystis lobata","Rieger-Hofmann",NA
"Echium vulgare","Rieger-Hofmann",NA
"Eleocharis acicularis","Rieger-Hofmann",NA
"Eleocharis palustris","Rieger-Hofmann",NA
"Elodea canadensis","Rieger-Hofmann",NA
"Elymus caninus","Rieger-Hofmann",NA
