"Species","Producer","URL"
"Epilobium parviflorum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/epilobium-parviflorum-kleinbl-tiges-weidenr-schen.html"
"Epilobium roseum","Blauetikett Bornträger",NA
"Epilobium tetragonum","Blauetikett Bornträger",NA
"Epipactis helleborine","Blauetikett Bornträger",NA
"Equisetum fluviatile","Blauetikett Bornträger",NA
"Equisetum hyemale","Blauetikett Bornträger",NA
"Equisetum palustre","Blauetikett Bornträger",NA
"Equisetum variegatum","Blauetikett Bornträger",NA
"Erica carnea","Blauetikett Bornträger",NA
"Erica tetralix","Blauetikett Bornträger",NA
"Eriophorum angustifolium","Blauetikett Bornträger",NA
"Eriophorum latifolium","Blauetikett Bornträger",NA
"Eriophorum vaginatum","Blauetikett Bornträger",NA
"Eryngium campestre","Blauetikett Bornträger",NA
"Eryngium maritimum","Blauetikett Bornträger",NA
"Eryngium planum","Blauetikett Bornträger",NA
"Erysimum cheiranthoides","Blauetikett Bornträger",NA
"Erysimum cheiri","Blauetikett Bornträger",NA
"Erysimum crepidifolium","Blauetikett Bornträger",NA
"Erysimum odoratum","Blauetikett Bornträger",NA
"Euphorbia cyparissias","Blauetikett Bornträger",NA
"Euphorbia dulcis","Blauetikett Bornträger",NA
"Euphorbia epithymoides","Blauetikett Bornträger",NA
"Euphorbia esula","Blauetikett Bornträger",NA
"Euphorbia palustris","Blauetikett Bornträger",NA
"Euphorbia seguieriana","Blauetikett Bornträger",NA
"Euphorbia verrucosa","Blauetikett Bornträger",NA
"Euphrasia stricta","Blauetikett Bornträger",NA
"Fagopyrum tataricum","Blauetikett Bornträger",NA
"Falcaria vulgaris","Blauetikett Bornträger",NA
"Fallopia dumetorum","Blauetikett Bornträger",NA
"Festuca altissima","Blauetikett Bornträger",NA
"Festuca amethystina","Blauetikett Bornträger",NA
"Festuca filiformis","Blauetikett Bornträger",NA
"Festuca ovina","Blauetikett Bornträger",NA
"Festuca valesiaca","Blauetikett Bornträger",NA
"Filipendula vulgaris","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/filipendula-vulgaris-m-des.html"
"Fragaria moschata","Blauetikett Bornträger",NA
"Fragaria viridis","Blauetikett Bornträger",NA
"Fraxinus excelsior","Blauetikett Bornträger",NA
"Fritillaria meleagris","Blauetikett Bornträger",NA
"Fumana procumbens","Blauetikett Bornträger",NA
"Gagea lutea","Blauetikett Bornträger",NA
"Gagea villosa","Blauetikett Bornträger",NA
"Galanthus nivalis","Blauetikett Bornträger",NA
"Galatella linosyris","Blauetikett Bornträger",NA
"Galeobdolon luteum","Blauetikett Bornträger",NA
"Galeopsis angustifolia","Blauetikett Bornträger",NA
"Galeopsis ladanum","Blauetikett Bornträger",NA
"Galeopsis segetum","Blauetikett Bornträger",NA
"Galeopsis speciosa","Blauetikett Bornträger",NA
"Galium boreale","Blauetikett Bornträger",NA
"Galium glaucum","Blauetikett Bornträger",NA
"Galium odoratum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/waldmeister-galium-odoratum.html"
"Galium palustre","Blauetikett Bornträger",NA
"Galium pumilum","Blauetikett Bornträger",NA
"Galium saxatile","Blauetikett Bornträger",NA
"Galium sylvaticum","Blauetikett Bornträger",NA
"Galium uliginosum","Blauetikett Bornträger",NA
"Galium verum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/galium-verum-echtes-labkraut.html"
"Genista anglica","Blauetikett Bornträger",NA
"Genista germanica","Blauetikett Bornträger",NA
"Genista pilosa","Blauetikett Bornträger",NA
"Genista sagittalis","Blauetikett Bornträger",NA
"Genista tinctoria","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/genista-tinctoria-faerberginster.html"
"Gentiana acaulis","Blauetikett Bornträger",NA
"Gentiana asclepiadea","Blauetikett Bornträger",NA
"Gentiana cruciata","Blauetikett Bornträger",NA
"Gentiana lutea","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/gentiana-lutea-gelber-enzian.html"
"Gentiana pneumonanthe","Blauetikett Bornträger",NA
"Gentiana verna","Blauetikett Bornträger",NA
"Gentianella germanica","Blauetikett Bornträger",NA
"Geranium dissectum","Blauetikett Bornträger",NA
"Geranium palustre","Blauetikett Bornträger",NA
"Geranium phaeum","Blauetikett Bornträger",NA
"Geranium pratense","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/wiesenstorchschnabel-geranium-pratense.html"
"Geranium pratense","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/wiesenstochschnabel-geranium-pratense.html"
"Geranium pratense","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/geranium-pratense-wiesenstorchschnabel.html"
"Geranium rotundifolium","Blauetikett Bornträger",NA
"Geranium sanguineum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/geranium-sanguineum-blutstorchschnabel.html"
"Geranium sylvaticum","Blauetikett Bornträger",NA
"Geum rivale","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/geum-rivale-bachnelkenwurz.html"
"Gladiolus palustris","Blauetikett Bornträger",NA
"Glaucium flavum","Blauetikett Bornträger",NA
"Glebionis segetum","Blauetikett Bornträger",NA
"Globularia bisnagarica","Blauetikett Bornträger",NA
"Globularia punctata","Blauetikett Bornträger",NA
"Glyceria maxima","Blauetikett Bornträger",NA
"Glyceria notata","Blauetikett Bornträger",NA
"Gratiola officinalis","Blauetikett Bornträger",NA
"Gymnadenia conopsea","Blauetikett Bornträger",NA
"Gymnocarpium dryopteris","Blauetikett Bornträger",NA
"Gypsophila fastigiata","Blauetikett Bornträger",NA
"Gypsophila muralis","Blauetikett Bornträger",NA
"Gypsophila repens","Blauetikett Bornträger",NA
"Helianthemum apenninum","Blauetikett Bornträger",NA
"Helianthemum canum","Blauetikett Bornträger",NA
"Helianthemum nummularium","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/helianthemum-nummularium-sonnenr-schen.html"
"Helichrysum arenarium","Blauetikett Bornträger",NA
"Helictotrichon pubescens","Blauetikett Bornträger",NA
"Helleborus foetidus","Blauetikett Bornträger",NA
"Helleborus viridis","Blauetikett Bornträger",NA
"Hepatica nobilis","Blauetikett Bornträger",NA
"Herniaria glabra","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/herniaria-glabra-bruchkraut.html"
"Hieracium bauhini","Blauetikett Bornträger",NA
