State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Bremen/Lower Saxony,Clematis recta,0,Sun to Half-shade,moist to dry,intermediate to N-rich,alkaline,permeable to humus,to -28 °C (to Climatic zone 5),150,white,Bees,NA,NA,NA,NA,NA,100+ cm
Hesse,Clematis recta,0,Sun to Half-shade,moist to dry,intermediate to N-rich,alkaline,permeable to humus,to -28 °C (to Climatic zone 5),150,white,Bees,NA,NA,NA,NA,NA,100+ cm
Saxony,Clematis recta,1,Sun to Half-shade,moist to dry,intermediate to N-rich,alkaline,permeable to humus,to -28 °C (to Climatic zone 5),150,white,Bees,NA,NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Clematis recta,2,Sun to Half-shade,moist to dry,intermediate to N-rich,alkaline,permeable to humus,to -28 °C (to Climatic zone 5),150,white,Bees,NA,NA,NA,NA,NA,100+ cm
Thuringia,Clematis recta,1,Sun to Half-shade,moist to dry,intermediate to N-rich,alkaline,permeable to humus,to -28 °C (to Climatic zone 5),150,white,Bees,NA,NA,NA,NA,NA,100+ cm
Berlin,Clinopodium vulgare,2,Sun,moist,N-poor,NA,permeable to normal,NA,60,pink,Bees (2 spp.),Butterflies (3 spp.),NA,NA,NA,"yes, medium pots",40-60 cm
Brandenburg,Clinopodium vulgare,3,Sun,moist,N-poor,NA,permeable to normal,NA,60,pink,Bees (2 spp.),Butterflies (3 spp.),NA,NA,NA,"yes, medium pots",40-60 cm
Hamburg,Clinopodium vulgare,1,Sun,moist,N-poor,NA,permeable to normal,NA,60,pink,Bees (2 spp.),Butterflies (3 spp.),NA,NA,NA,"yes, medium pots",40-60 cm
Mecklenburg-Western Pomerania,Clinopodium vulgare,V,Sun,moist,N-poor,NA,permeable to normal,NA,60,pink,Bees (2 spp.),Butterflies (3 spp.),NA,NA,NA,"yes, medium pots",40-60 cm
Saxony,Clinopodium vulgare,V,Sun,moist,N-poor,NA,permeable to normal,NA,60,pink,Bees (2 spp.),Butterflies (3 spp.),NA,NA,NA,"yes, medium pots",40-60 cm
Schleswig-Holstein,Clinopodium vulgare,3,Sun,moist,N-poor,NA,permeable to normal,NA,60,pink,Bees (2 spp.),Butterflies (3 spp.),NA,NA,NA,"yes, medium pots",40-60 cm
Bavaria,Cochlearia officinalis,0,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -6 °C (to Climatic zone 9),30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Cochlearia officinalis,1,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -6 °C (to Climatic zone 9),30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Hesse,Cochlearia officinalis,0,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -6 °C (to Climatic zone 9),30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Cochlearia officinalis,1,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -6 °C (to Climatic zone 9),30,white,NA,NA,NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Cochlearia officinalis,0,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -6 °C (to Climatic zone 9),30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Cochlearia officinalis,V,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -6 °C (to Climatic zone 9),30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Berlin,Colchicum autumnale,1,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,rose,Bees (1 spp.),Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Brandenburg,Colchicum autumnale,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,rose,Bees (1 spp.),Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Bremen/Lower Saxony,Colchicum autumnale,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,rose,Bees (1 spp.),Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Hamburg,Colchicum autumnale,0,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,rose,Bees (1 spp.),Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Colchicum autumnale,R,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,rose,Bees (1 spp.),Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Saxony,Colchicum autumnale,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,rose,Bees (1 spp.),Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Saxony-Anhalt,Colchicum autumnale,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,rose,Bees (1 spp.),Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Baden-Württemberg,Colutea arborescens,2,Sun to Half-shade,dry,intermediate,NA,permeable to normal,to -23 °C (to Climatic zone 6),200,yellow,Bees,Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,100+ cm
Berlin,Comarum palustre,3,Sun,wet,N-poor,acidic,NA,to -40 °C (to Climatic zone 3),70,black,NA,Butterflies (7 spp.),NA,NA,NA,NA,60-100 cm
Hamburg,Comarum palustre,V,Sun,wet,N-poor,acidic,NA,to -40 °C (to Climatic zone 3),70,black,NA,Butterflies (7 spp.),NA,NA,NA,NA,60-100 cm
Hesse,Comarum palustre,2,Sun,wet,N-poor,acidic,NA,to -40 °C (to Climatic zone 3),70,black,NA,Butterflies (7 spp.),NA,NA,NA,NA,60-100 cm
North Rhine-Westphalia,Comarum palustre,3,Sun,wet,N-poor,acidic,NA,to -40 °C (to Climatic zone 3),70,black,NA,Butterflies (7 spp.),NA,NA,NA,NA,60-100 cm
Saxony,Comarum palustre,V,Sun,wet,N-poor,acidic,NA,to -40 °C (to Climatic zone 3),70,black,NA,Butterflies (7 spp.),NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Comarum palustre,3,Sun,wet,N-poor,acidic,NA,to -40 °C (to Climatic zone 3),70,black,NA,Butterflies (7 spp.),NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Comarum palustre,3,Sun,wet,N-poor,acidic,NA,to -40 °C (to Climatic zone 3),70,black,NA,Butterflies (7 spp.),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Conium maculatum,3,Sun,wet,N-rich,NA,humus,NA,200,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Bavaria,Conium maculatum,3,Sun,wet,N-rich,NA,humus,NA,200,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Berlin,Conium maculatum,V,Sun,wet,N-rich,NA,humus,NA,200,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Brandenburg,Conium maculatum,V,Sun,wet,N-rich,NA,humus,NA,200,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Hamburg,Conium maculatum,1,Sun,wet,N-rich,NA,humus,NA,200,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Saxony,Conium maculatum,V,Sun,wet,N-rich,NA,humus,NA,200,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Consolida regalis,V,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Berlin,Consolida regalis,1,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Brandenburg,Consolida regalis,3,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Hamburg,Consolida regalis,0,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Hesse,Consolida regalis,3,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Consolida regalis,3,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Rhineland-Palatinate,Consolida regalis,2,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Saxony,Consolida regalis,3,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Saxony-Anhalt,Consolida regalis,V,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Schleswig-Holstein,Consolida regalis,1,Sun,moist to dry,N-rich,alkaline,permeable to loamy,NA,40,blue,Bees (2 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Schleswig-Holstein,Convallaria majalis,V,Sun to Half-shade,moist to dry,intermediate,NA,NA,to -40 °C (to Climatic zone 3),25,white,Bees (1 spp.),NA,NA,NA,NA,yes,0-40 cm
Bavaria,Cornus mas,3,Sun to Shade,moist to dry,N-rich,alkaline,normal,to -28 °C (to Climatic zone 5),600,yellow,Bees,NA,Birds,NA,NA,NA,100+ cm
Bremen/Lower Saxony,Cornus mas,3,Sun to Shade,moist to dry,N-rich,alkaline,normal,to -28 °C (to Climatic zone 5),600,yellow,Bees,NA,Birds,NA,NA,NA,100+ cm
North Rhine-Westphalia,Cornus mas,R,Sun to Shade,moist to dry,N-rich,alkaline,normal,to -28 °C (to Climatic zone 5),600,yellow,Bees,NA,Birds,NA,NA,NA,100+ cm
Thuringia,Cornus mas,3,Sun to Shade,moist to dry,N-rich,alkaline,normal,to -28 °C (to Climatic zone 5),600,yellow,Bees,NA,Birds,NA,NA,NA,100+ cm
Baden-Württemberg,Coronilla coronata,V,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
Bavaria,Coronilla coronata,3,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
Bremen/Lower Saxony,Coronilla coronata,2,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
Hesse,Coronilla coronata,R,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
North Rhine-Westphalia,Coronilla coronata,2,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
Rhineland-Palatinate,Coronilla coronata,0,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
Saxony-Anhalt,Coronilla coronata,2,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
Thuringia,Coronilla coronata,3,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable,to -23 °C (to Climatic zone 6),50,yellow,NA,Butterflies (4 spp.),NA,4 spp. of mammals,NA,NA,40-60 cm
Baden-Württemberg,Coronilla vaginalis,3,Sun to Half-shade,dry,N-poor,NA,permeable,NA,25,yellow,NA,Butterflies (3 spp.),NA,NA,NA,NA,0-40 cm
Bavaria,Coronilla vaginalis,3,Sun to Half-shade,dry,N-poor,NA,permeable,NA,25,yellow,NA,Butterflies (3 spp.),NA,NA,NA,NA,0-40 cm
Hesse,Coronilla vaginalis,R,Sun to Half-shade,dry,N-poor,NA,permeable,NA,25,yellow,NA,Butterflies (3 spp.),NA,NA,NA,NA,0-40 cm
Rhineland-Palatinate,Coronilla vaginalis,2,Sun to Half-shade,dry,N-poor,NA,permeable,NA,25,yellow,NA,Butterflies (3 spp.),NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Coronilla vaginalis,2,Sun to Half-shade,dry,N-poor,NA,permeable,NA,25,yellow,NA,Butterflies (3 spp.),NA,NA,NA,NA,0-40 cm
Thuringia,Coronilla vaginalis,V,Sun to Half-shade,dry,N-poor,NA,permeable,NA,25,yellow,NA,Butterflies (3 spp.),NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Corydalis cava,V,Half-shade to Shade,wet to moist,N-rich,NA,loamy,to -23 °C (to Climatic zone 6),30,white,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Baden-Württemberg,Corydalis intermedia,V,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Bavaria,Corydalis intermedia,3,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Berlin,Corydalis intermedia,1,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Brandenburg,Corydalis intermedia,3,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Hamburg,Corydalis intermedia,2,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Corydalis intermedia,3,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Rhineland-Palatinate,Corydalis intermedia,G,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Saxony,Corydalis intermedia,V,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Thuringia,Corydalis intermedia,R,Sun to Half-shade,wet,N-rich,NA,loamy,NA,20,pink,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Brandenburg,Corydalis pumila,3,Sun to Half-shade,moist,N-rich,NA,normal to humus,to -28 °C (to Climatic zone 5),20,violet,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Corydalis pumila,R,Sun to Half-shade,moist,N-rich,NA,normal to humus,to -28 °C (to Climatic zone 5),20,violet,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Corydalis pumila,R,Sun to Half-shade,moist,N-rich,NA,normal to humus,to -28 °C (to Climatic zone 5),20,violet,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Thuringia,Corydalis pumila,V,Sun to Half-shade,moist,N-rich,NA,normal to humus,to -28 °C (to Climatic zone 5),20,violet,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Bavaria,Corydalis solida,3,Sun to Half-shade,moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),20,rose,Bees (2 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Corydalis solida,R,Sun to Half-shade,moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),20,rose,Bees (2 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,yes,0-40 cm
Saxony,Corydalis solida,2,Sun to Half-shade,moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),20,rose,Bees (2 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,yes,0-40 cm
Thuringia,Corydalis solida,1,Sun to Half-shade,moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),20,rose,Bees (2 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,yes,0-40 cm
Baden-Württemberg,Corynephorus canescens,3,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Bavaria,Corynephorus canescens,3,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Hamburg,Corynephorus canescens,3,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Hesse,Corynephorus canescens,3,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Rhineland-Palatinate,Corynephorus canescens,3,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Saarland,Corynephorus canescens,2,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Schleswig-Holstein,Corynephorus canescens,3,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Thuringia,Corynephorus canescens,3,Sun,dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),30,violet,NA,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,0-40 cm
Bavaria,Cotoneaster integerrimus,3,Sun,dry,N-rich,NA,permeable to humus,NA,200,rose,Bees (1 spp.),NA,NA,NA,NA,yes,100+ cm
Bremen/Lower Saxony,Cotoneaster integerrimus,R,Sun,dry,N-rich,NA,permeable to humus,NA,200,rose,Bees (1 spp.),NA,NA,NA,NA,yes,100+ cm
Saarland,Cotoneaster integerrimus,R,Sun,dry,N-rich,NA,permeable to humus,NA,200,rose,Bees (1 spp.),NA,NA,NA,NA,yes,100+ cm
Saxony,Cotoneaster integerrimus,2,Sun,dry,N-rich,NA,permeable to humus,NA,200,rose,Bees (1 spp.),NA,NA,NA,NA,yes,100+ cm
Thuringia,Cotoneaster integerrimus,2,Sun,dry,N-rich,NA,permeable to humus,NA,200,rose,Bees (1 spp.),NA,NA,NA,NA,yes,100+ cm
Bremen/Lower Saxony,Crambe maritima,R,Sun,moist to dry,N-rich,NA,permeable to loamy,to -28 °C (to Climatic zone 5),60,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Crambe maritima,2,Sun,moist to dry,N-rich,NA,permeable to loamy,to -28 °C (to Climatic zone 5),60,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Schleswig-Holstein,Crambe maritima,V,Sun,moist to dry,N-rich,NA,permeable to loamy,to -28 °C (to Climatic zone 5),60,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Berlin,Crataegus laevigata,0,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -28 °C (to Climatic zone 5),500,white,Bees (15 spp.),Butterflies (7 spp.),Birds (7 spp.),7 spp. of mammals,NA,NA,100+ cm
Brandenburg,Crataegus laevigata,2,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -28 °C (to Climatic zone 5),500,white,Bees (15 spp.),Butterflies (7 spp.),Birds (7 spp.),7 spp. of mammals,NA,NA,100+ cm
Saxony,Crataegus laevigata,V,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -28 °C (to Climatic zone 5),500,white,Bees (15 spp.),Butterflies (7 spp.),Birds (7 spp.),7 spp. of mammals,NA,NA,100+ cm
Berlin,Crataegus macrocarpa,1,Sun to Half-shade,moist to dry,NA,NA,normal to loamy,NA,600,white,NA,NA,NA,NA,NA,NA,100+ cm
Berlin,Crepis biennis,V,Sun,moist,NA,NA,permeable to loamy,NA,100,yellow,Bees (19 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Brandenburg,Crepis biennis,V,Sun,moist,NA,NA,permeable to loamy,NA,100,yellow,Bees (19 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Hamburg,Crepis biennis,2,Sun,moist,NA,NA,permeable to loamy,NA,100,yellow,Bees (19 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Crepis biennis,3,Sun,moist,NA,NA,permeable to loamy,NA,100,yellow,Bees (19 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Berlin,Crepis paludosa,2,Sun to Half-shade,wet,N-rich,acidic,humus,NA,120,yellow,NA,Butterflies (4 spp.),NA,NA,NA,NA,100+ cm
Brandenburg,Crepis paludosa,3,Sun to Half-shade,wet,N-rich,acidic,humus,NA,120,yellow,NA,Butterflies (4 spp.),NA,NA,NA,NA,100+ cm
Hamburg,Crepis paludosa,3,Sun to Half-shade,wet,N-rich,acidic,humus,NA,120,yellow,NA,Butterflies (4 spp.),NA,NA,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Crepis paludosa,V,Sun to Half-shade,wet,N-rich,acidic,humus,NA,120,yellow,NA,Butterflies (4 spp.),NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Crepis paludosa,V,Sun to Half-shade,wet,N-rich,acidic,humus,NA,120,yellow,NA,Butterflies (4 spp.),NA,NA,NA,NA,100+ cm
Schleswig-Holstein,Crepis paludosa,3,Sun to Half-shade,wet,N-rich,acidic,humus,NA,120,yellow,NA,Butterflies (4 spp.),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Crepis tectorum,2,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
Bavaria,Crepis tectorum,2,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Crepis tectorum,V,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
Hamburg,Crepis tectorum,3,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
Hesse,Crepis tectorum,V,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Crepis tectorum,3,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
Schleswig-Holstein,Crepis tectorum,2,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
Thuringia,Crepis tectorum,2,Sun,moist,N-rich,acidic,humus,NA,60,yellow,NA,NA,NA,NA,NA,NA,40-60 cm
Berlin,Cruciata laevipes,R,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Brandenburg,Cruciata laevipes,3,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Hamburg,Cruciata laevipes,1,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Saxony,Cruciata laevipes,V,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Schleswig-Holstein,Cruciata laevipes,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Bavaria,Cyclamen purpurascens,3,Sun to Half-shade,moist,N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),15,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Brandenburg,Cymbalaria muralis,V,Sun to Shade,moist,N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),20,violet,Bees,NA,NA,NA,NA,yes,0-40 cm
Schleswig-Holstein,Cymbalaria muralis,V,Sun to Shade,moist,N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),20,violet,Bees,NA,NA,NA,NA,yes,0-40 cm
Bremen/Lower Saxony,Cynoglossum officinale,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -23 °C (to Climatic zone 6),80,red,Bees,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,60-100 cm
Hamburg,Cynoglossum officinale,1,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -23 °C (to Climatic zone 6),80,red,Bees,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,60-100 cm
North Rhine-Westphalia,Cynoglossum officinale,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -23 °C (to Climatic zone 6),80,red,Bees,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,60-100 cm
Saarland,Cynoglossum officinale,V,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -23 °C (to Climatic zone 6),80,red,Bees,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,60-100 cm
Saxony,Cynoglossum officinale,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -23 °C (to Climatic zone 6),80,red,Bees,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Cynoglossum officinale,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -23 °C (to Climatic zone 6),80,red,Bees,Butterflies (8 spp.),NA,8 spp. of mammals,NA,NA,60-100 cm
Berlin,Cynosurus cristatus,3,Sun,moist,N-rich,acidic,loamy,NA,60,green,NA,Butterflies (5 spp.),NA,5 spp. of mammals,NA,NA,40-60 cm
Brandenburg,Cynosurus cristatus,3,Sun,moist,N-rich,acidic,loamy,NA,60,green,NA,Butterflies (5 spp.),NA,5 spp. of mammals,NA,NA,40-60 cm
Hamburg,Cynosurus cristatus,V,Sun,moist,N-rich,acidic,loamy,NA,60,green,NA,Butterflies (5 spp.),NA,5 spp. of mammals,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Cynosurus cristatus,3,Sun,moist,N-rich,acidic,loamy,NA,60,green,NA,Butterflies (5 spp.),NA,5 spp. of mammals,NA,NA,40-60 cm
North Rhine-Westphalia,Cynosurus cristatus,3,Sun,moist,N-rich,acidic,loamy,NA,60,green,NA,Butterflies (5 spp.),NA,5 spp. of mammals,NA,NA,40-60 cm
