State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Schleswig-Holstein,Knautia arvensis,V,Sun,moist to dry,intermediate,alkaline,permeable to humus,to -23 °C (to Climatic zone 6),80,purple,Bees (13 spp.),Butterflies (38 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Saxony,Knautia drymeia,1,Sun to Half-shade,moist to dry,intermediate,NA,permeable to humus,NA,40,violet,Bees (1 spp.),Butterflies,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Koeleria glauca,2,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Berlin,Koeleria glauca,1,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Brandenburg,Koeleria glauca,3,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Bremen/Lower Saxony,Koeleria glauca,2,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Hamburg,Koeleria glauca,1,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Hesse,Koeleria glauca,2,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Mecklenburg-Western Pomerania,Koeleria glauca,2,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Rhineland-Palatinate,Koeleria glauca,2,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
