"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Ranunculus arvensis","Acker-Hahnenfuß","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=4"
"Ranunculus lingua","Zungen-Hahnenfuß","Rieger-Hofmann",NA
"Ranunculus montanus","Berg-Hahnenfuß","Rieger-Hofmann",NA
"Rhamnus saxatilis","Felsen-Kreuzdorn","Rieger-Hofmann",NA
"Rhodiola rosea","Rosenwurz","Rieger-Hofmann",NA
"Rhododendron ferrugineum","Rostblättrige Alpenrose","Rieger-Hofmann",NA
"Ribes petraeum","Felsen-Johannisbeere","Rieger-Hofmann",NA
"Rosa agrestis","Ackerrose","Rieger-Hofmann",NA
"Rosa elliptica","Keilblättrige Rose","Rieger-Hofmann",NA
"Rosa gallica","Essigrose","Rieger-Hofmann",NA
"Rosa glauca","Hechtrose,Rotblättrige Rose","Rieger-Hofmann",NA
"Rosa jundzillii","Raublättrige Rose","Rieger-Hofmann",NA
"Rosa majalis","Zimtrose","Rieger-Hofmann",NA
"Rosa micrantha","Kleinblütige Rose","Rieger-Hofmann",NA
"Rosa pendulina","Hängefrucht-Rose,Ackerheckenrose, Alpenheckenrose","Rieger-Hofmann",NA
"Rosa stylosa","Griffel-Rose","Rieger-Hofmann",NA
"Rosa tomentella","Flaumrose,Stumpfblättrige Rose","Rieger-Hofmann",NA
"Rosa villosa","Apfelrose","Rieger-Hofmann",NA
"Rubus chamaemorus","Moltebeere","Rieger-Hofmann",NA
"Rumex aquaticus","Wasser-Ampfer","Rieger-Hofmann",NA
"Rumex hydrolapathum","Fluß-Ampfer","Rieger-Hofmann",NA
"Rumex maritimus","Strand-Ampfer,Ufer-Ampfer","Rieger-Hofmann",NA
"Ruta graveolens","Wein-Raute","Rieger-Hofmann",NA
"Sagina nodosa","Knotiges Mastkraut","Rieger-Hofmann",NA
"Salix daphnoides","Reif-Weide","Rieger-Hofmann",NA
