"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Buphthalmum salicifolium","Ochsenauge,Weidenblatt-Rindsauge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Bupleurum falcatum","Sichel-Hasenohr,Sichelblättriges Hasenohr","Rieger-Hofmann",NA
"Bupleurum longifolium","Langblättriges Hasenohr","Rieger-Hofmann",NA
"Bupleurum ranunculoides","Hahnenfuß-Hasenohr,Berg-Hasenohr","Rieger-Hofmann",NA
"Bupleurum rotundifolium","Rundblättriges Hasenohr,Acker-Hasenohr, Durchwachskraut, Durchwachs-Hasenohr","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Butomus umbellatus","Schwanenblume,Wasserliesch, Blumenbinse","Rieger-Hofmann",NA
"Cakile maritima","Europäischer Meersenf","Rieger-Hofmann",NA
"Calamagrostis arundinacea","Wald-Reitgras","Rieger-Hofmann",NA
"Calamagrostis canescens","Sumpf-Reitgras","Rieger-Hofmann",NA
"Calamagrostis pseudophragmites","Ufer-Reitgras","Rieger-Hofmann",NA
"Calamagrostis varia","Berg-Reitgras","Rieger-Hofmann",NA
"Calamintha nepeta","Kleinblütige Bergminze,Steinquendel","Rieger-Hofmann",NA
"Calendula arvensis","Acker-Ringelblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Calla palustris","Sumpfkalla,Drachenwurz","Rieger-Hofmann",NA
"Callitriche palustris","Sumpf-Wasserstern,Frühlings-Wasserstern","Rieger-Hofmann",NA
"Calluna vulgaris","Besenheide,Heidekraut","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Caltha palustris","Sumpf-Dotterblume","Rieger-Hofmann",NA
"Campanula bononiensis","Bologneser Glockenblume","Rieger-Hofmann",NA
"Campanula cervicaria","Borstige Glockenblume","Rieger-Hofmann",NA
"Campanula cochleariifolia","Zwerg-Glockenblume,Niedliche Glockenblume","Rieger-Hofmann",NA
"Campanula glomerata","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula latifolia","Breitblättrige Glockenblume","Rieger-Hofmann",NA
"Campanula patula","Wiesen-Glockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula persicifolia","Pfirsichblättrige Glockenblume","Rieger-Hofmann",NA
"Campanula rapunculus","Rapunzel-Glockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula rhomboidalis","Rautenblättrige Glockenblume","Rieger-Hofmann",NA
"Campanula rotundifolia","Rundblättrige Glockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula scheuchzeri","Scheuchzers Glockenblume","Rieger-Hofmann",NA
"Campanula sibirica","Steppen-Glockenblume","Rieger-Hofmann",NA
"Campanula trachelium","Nesselblättrige Glockenblume","Rieger-Hofmann",NA
"Cardamine alpina","Alpen-Schaumkraut","Rieger-Hofmann",NA
"Cardamine amara","Kressen-Schaumkraut","Rieger-Hofmann",NA
"Cardamine bulbifera","Zwiebel-Schaumkraut","Rieger-Hofmann",NA
"Cardamine flexuosa","Wald-Schaumkraut","Rieger-Hofmann",NA
"Cardamine impatiens","Spring-Schaumkraut","Rieger-Hofmann",NA
"Cardamine pratensis","Wiesen-Schaumkraut","Rieger-Hofmann",NA
"Carduus acanthoides","Weg-Distel","Rieger-Hofmann",NA
"Carduus defloratus","Alpen-Distel","Rieger-Hofmann",NA
"Carduus nutans","Nickende Distel","Rieger-Hofmann",NA
"Carex acuta","Schlank-Segge","Rieger-Hofmann",NA
"Carex alba","Weiße Segge","Rieger-Hofmann",NA
"Carex arenaria","Sand-Segge","Rieger-Hofmann",NA
"Carex brizoides","Zittergras-Segge","Rieger-Hofmann",NA
"Carex caryophyllea","Frühlings-Segge","Rieger-Hofmann",NA
"Carex davalliana","Davalls Segge,Torf-Segge","Rieger-Hofmann",NA
"Carex diandra","Draht-Segge","Rieger-Hofmann",NA
"Carex digitata","Finger-Segge","Rieger-Hofmann",NA
"Carex divulsa","Westfälische Segge,Leers Segge, Vielblättrige Segge","Rieger-Hofmann",NA
"Carex elata","Steife Segge","Rieger-Hofmann",NA
"Carex ericetorum","Heide-Segge","Rieger-Hofmann",NA
"Carex flacca","Blaugrüne Segge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex flava","Gelbe Segge","Rieger-Hofmann",NA
"Carex humilis","Erd-Segge,Zwergsegge","Rieger-Hofmann",NA
"Carex leporina","Hasenpfoten-Segge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex montana","Berg-Segge","Rieger-Hofmann",NA
"Carex nigra","Wiesen-Segge","Rieger-Hofmann",NA
"Carex obtusata","Stumpfe Segge","Rieger-Hofmann",NA
"Carex ornithopoda","Vogelfuß-Segge","Rieger-Hofmann",NA
"Carex panicea","Hirse-Segge","Rieger-Hofmann",NA
"Carex paniculata","Rispen-Segge","Rieger-Hofmann",NA
"Carex pendula","Hänge-Segge,Riesen-Segge, Große Segge, Hängende Segge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex pilulifera","Pillen-Segge","Rieger-Hofmann",NA
"Carex pseudocyperus","Scheinzypergras-Segge","Rieger-Hofmann",NA
"Carex remota","Winkel-Segge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex riparia","Ufer-Segge","Rieger-Hofmann",NA
"Carex rostrata","Schnabel-Segge","Rieger-Hofmann",NA
"Carex sempervirens","Horst-Segge","Rieger-Hofmann",NA
"Carex spicata","Dichtährige Segge","Rieger-Hofmann",NA
"Carex sylvatica","Wald-Segge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex umbrosa","Schatten-Segge","Rieger-Hofmann",NA
"Carex vulpina","Fuchs-Segge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carlina acaulis","Silberdistel,Große Eberwurz","Rieger-Hofmann",NA
"Carlina vulgaris","Golddistel","Rieger-Hofmann",NA
"Carum carvi","Echter Kümmel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Centaurea cyanus","Kornblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea jacea","Wiesen-Flockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea montana","Berg-Flockenblume","Rieger-Hofmann",NA
"Centaurea nigra","Schwarze Flockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea nigrescens","Schwärzliche Flockenblume","Rieger-Hofmann",NA
"Centaurea phrygia","Phrygische Flockenblume","Rieger-Hofmann",NA
"Centaurea pseudophrygia","Perücken-Flockenblume","Rieger-Hofmann",NA
"Centaurea scabiosa","Skabiosen-Flockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Centaurea stoebe","Rispen-Flockenblume","Rieger-Hofmann",NA
"Centaurium erythraea","Echtes Tausendgüldenkraut","Rieger-Hofmann",NA
"Cephalanthera damasonium","Bleiches Waldvöglein","Rieger-Hofmann",NA
"Cerastium arvense","Acker-Hornkraut","Rieger-Hofmann",NA
"Ceratophyllum demersum","Raues Hornblatt,Gemeines Hornblatt","Rieger-Hofmann",NA
"Ceratophyllum submersum","Zartes Hornblatt","Rieger-Hofmann",NA
"Cerinthe minor","Kleine Wachsblume","Rieger-Hofmann",NA
"Chaerophyllum aromaticum","Gewürz-Kälberkropf","Rieger-Hofmann",NA
"Chaerophyllum aureum","Gold-Kälberkropf","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Chaerophyllum bulbosum","Knolliger Kälberkropf","Rieger-Hofmann",NA
"Chaerophyllum hirsutum","Behaarter Kälberkropf","Rieger-Hofmann",NA
"Chamaecytisus ratisbonensis","Regensburger Zwergginster,Cytisus ratisbonensis","Rieger-Hofmann",NA
"Chamaecytisus supinus","Kopf-Zwergginster","Rieger-Hofmann",NA
"Chenopodium bonus-henricus","Guter Heinrich","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Chenopodium foliosum","Echter Erdbeerspinat","Rieger-Hofmann",NA
"Chenopodium hybridum","Stechapfelblättriger Gänsefuß","Rieger-Hofmann",NA
"Chondrilla juncea","Großer Knorpellattich,Binsen-Knorpellattich","Rieger-Hofmann",NA
"Chrysosplenium alternifolium","Wechselblättriges Milzkraut,Gold-Milzkraut","Rieger-Hofmann",NA
"Cicerbita alpina","Alpen-Milchlattich","Rieger-Hofmann",NA
"Cicerbita plumieri","Französischer Milchlattich","Rieger-Hofmann",NA
"Cichorium intybus","Wegwarte","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cicuta virosa","Wasserschierling,Gift-Wasserschierling","Rieger-Hofmann",NA
"Circaea lutetiana","Großes Hexenkraut,Gewöhnliches Hexenkraut","Rieger-Hofmann",NA
"Cirsium acaule","Stängellose Kratzdistel","Rieger-Hofmann",NA
"Cirsium acaulon","Stängellose Kratzdistel","Rieger-Hofmann",NA
"Cirsium canum","Graue Kratzdistel","Rieger-Hofmann",NA
"Cirsium eriophorum","Wollkopf-Kratzdistel","Rieger-Hofmann",NA
"Cirsium oleraceum","Kohldistel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cirsium palustre","Sumpf-Kratzdistel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cirsium rivulare","Bach-Kratzdistel","Rieger-Hofmann",NA
"Cirsium tuberosum","Knollen-Kratzdistel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cladium mariscus","Binsen-Schneide","Rieger-Hofmann",NA
"Clematis recta","Aufrechte Waldrebe","Rieger-Hofmann",NA
"Clinopodium vulgare","Gemeiner Wirbeldost","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cochlearia officinalis","Echtes Löffelkraut","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Colchicum autumnale","Herbstzeitlose","Rieger-Hofmann",NA
"Colutea arborescens","Gelber Blasenstrauch","Rieger-Hofmann",NA
"Comarum palustre","Sumpf-Blutauge","Rieger-Hofmann",NA
"Conium maculatum","Gefleckter Schierling","Rieger-Hofmann",NA
"Consolida regalis","Gewöhnlicher Feldrittersporn,Ackerrittersporn","Rieger-Hofmann",NA
"Convallaria majalis","Maiglöckchen","Rieger-Hofmann",NA
"Cornus mas","Kornelkirsche","Rieger-Hofmann",NA
"Coronilla coronata","Berg-Kronwicke","Rieger-Hofmann",NA
"Coronilla vaginalis","Scheiden-Kronwicke","Rieger-Hofmann",NA
"Corydalis cava","Hohler Lerchensporn,Hohlknolliger Lerchensporn","Rieger-Hofmann",NA
"Corydalis intermedia","Mittlerer Lerchensporn","Rieger-Hofmann",NA
"Corydalis pumila","Zwerg-Lerchensporn","Rieger-Hofmann",NA
"Corydalis solida","Gefingerter Lerchensporn","Rieger-Hofmann",NA
"Corynephorus canescens","Gewöhnliches Silbergras","Rieger-Hofmann",NA
"Cotoneaster integerrimus","Gewöhnliche Zwergmispel","Rieger-Hofmann",NA
"Crambe maritima","Echter Meerkohl","Rieger-Hofmann",NA
"Crataegus laevigata","Zweigriffeliger Weißdorn","Rieger-Hofmann",NA
"Crataegus macrocarpa","Großfrüchtiger Weißdorn","Rieger-Hofmann",NA
"Crepis biennis","Wiesen-Pippau","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Crepis paludosa","Sumpf-Pippau","Rieger-Hofmann",NA
"Crepis tectorum","Dach-Pippau","Rieger-Hofmann",NA
"Cruciata laevipes","Gewimpertes Kreuzlabkraut","Rieger-Hofmann",NA
"Cyclamen purpurascens","Europäisches Alpenveilchen","Rieger-Hofmann",NA
