"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Salvia pratensis","Wiesensalbei","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41611-HelllrosablA¼hender_WiesenSalbei_Salvia_pratensis_Sweet_Esmeralda.htm"
"Salvia verticillata","Quirlblütiger Salbei","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2606-QuirlblA¼tiger_Salbei_Salvia_verticillata.htm"
"Salvia verticillata","Quirlblütiger Salbei","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2607-QuirlblA¼tiger_Salbei_weiA_Salvia_verticillata_Alba.htm"
"Sambucus ebulus","Zwerg-Holunder","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Sanguisorba minor","Kleiner Wiesenknopf,Pimpinelle","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2609-Kleiner_Wiesenknopf_Pimpinelle_Sanguisorba_minor_zur_Zeit_nicht_lieferbar.htm"
"Sanguisorba minor","Kleiner Wiesenknopf,Pimpinelle","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3479-Kleiner_Wiesenknopf_Pimpinelle_Sanguisorba_minor_zur_Zeit_nicht_lieferbar.htm"
"Sanguisorba officinalis","Großer Wiesenknopf,Echter Wiesenknopf","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2610-GroAer_Wiesenknopf_Sanguisorba_officinalis.htm"
"Sanguisorba officinalis","Großer Wiesenknopf,Echter Wiesenknopf","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3480-GroAer_Wiesenknopf_Sanguisorba_officinalis.htm"
"Sanguisorba officinalis","Großer Wiesenknopf,Echter Wiesenknopf","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41806-Rosa_Wiesenknopf_Sanguisorba_officinalis_Pink_Tanna_zur_Zeit_nicht_lieferbar.htm"
"Sanguisorba officinalis","Großer Wiesenknopf,Echter Wiesenknopf","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-40296-PurpurWiesenknopf_Sanguisorba_officinalis_Tanna.htm"
"Sanguisorba officinalis","Großer Wiesenknopf,Echter Wiesenknopf","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-40297-PurpurWiesenknopf_Sanguisorba_officinalis_Tanna.htm"
