"values","name"
"shop-2065-GewA¶hnl_WiesenKerbel_Anthriscus_sylvestris_zur_Zeit_nicht_lieferbar.htm","Anthriscus sylvestris zur Zeit nicht lieferbar -- Gewöhnl. Wiesen-Kerbel"
"shop-39532-GewA¶hnl_WiesenKerbel_Anthriscus_sylvestris_zur_Zeit_nicht_lieferbar.htm","Anthriscus sylvestris zur Zeit nicht lieferbar -- Gewöhnl. Wiesen-Kerbel"
"shop-2067-GewA¶hnl_Wundklee_Anthyllis_vulneraria.htm","Anthyllis vulneraria -- Gewöhnl. Wundklee"
"shop-43353-GewA¶hnl_Wundklee_Anthyllis_vulnerariaSA_fA¼r_10_qm_Kaltkeimer.htm","Anthyllis vulneraria(SA)* für 10 qm (Kaltkeimer) -- Gewöhnl. Wundklee"
"shop-41469-Wildes_LA¶wenmaul_Antirrhinum_majus_SA_DEAKO006.htm","Antirrhinum majus (SA) DE-ÖKO-006 -- Wildes Löwenmaul"
"shop-43459-Wildes_LA¶wenmaul_DEAKO006_Antirrhinum_majus_SA_fA¼r_10_qm.htm","Antirrhinum majus (SA) für 10 qm -- Wildes Löwenmaul DE-ÖKO-006"
"shop-43388-Wildes_LA¶wenmaul_Antirrhinum_majus_zur_Zeit_nicht_lieferbar.htm","Antirrhinum majus zur Zeit nicht lieferbar -- Wildes Löwenmaul"
"shop-971-FeldLA¶wenmaul_Antirrhinum_orontium_SA.htm","Antirrhinum orontium (SA) -- Feld-Löwenmaul"
"shop-3102-SchnittSellerie_Apium_graveolens.htm","Apium graveolens -- Schnitt-Sellerie"
"shop-43407-KnotenblA¼tiger_Sellerie_Sumpfschirm_Sedanina_Apium_nodiflorum.htm","Apium nodiflorum -- Knotenblütiger Sellerie, Sumpfschirm (Sedanina)"
"shop-43409-KnotenblA¼tiger_Sellerie_Sumpfschirm_Sedanina_Apium_nodiflorum.htm","Apium nodiflorum -- Knotenblütiger Sellerie, Sumpfschirm (Sedanina)"
"shop-2073-Schwarzviolette_Akelei_Aquilegia_atrata.htm","Aquilegia atrata -- Schwarzviolette Akelei"
"shop-2070-GewA¶hnl_Akelei_Aquilegia_vulgaris.htm","Aquilegia vulgaris -- Gewöhnl. Akelei"
"shop-43458-GewA¶hnl_Akelei_Aquilegia_vulgaris_SA_fA¼r_10_qm.htm","Aquilegia vulgaris (SA)* für 10 qm -- Gewöhnl. Akelei"
"shop-2071-GewA¶hnl_Akelei_Aquilegia_vulgaris_Alba.htm","Aquilegia vulgaris Alba -- Gewöhnl. Akelei"
"shop-2075-GroAe_Klette_Arctium_lappa_zur_Zeit_nicht_lieferbar.htm","Arctium lappa zur Zeit nicht lieferbar -- Große Klette"
"shop-3364-GroAe_Klette_Arctium_lappa_zur_Zeit_nicht_lieferbar.htm","Arctium lappa zur Zeit nicht lieferbar -- Große Klette"
"shop-2076-Filzige_Klette_Arctium_tomentosum.htm","Arctium tomentosum -- Filzige Klette"
"shop-39399-Filzige_Klette_Arctium_tomentosum.htm","Arctium tomentosum -- Filzige Klette"
"shop-41536-BA¤rentraube_Arctostaphylos_uvaursi_sZwerggehA¶lze.htm","Arctostaphylos uva-ursi (s.Zwerggehölze)* -- Bärentraube"
"shop-16-BA¤rentraube_Arctostaphylos_uvaursi.htm","Arctostaphylos uva-ursi* -- Bärentraube"
"shop-972-QuendelblA¤ttriges_Sandkraut_Arenaria_serphyllifolia_SA.htm","Arenaria serphyllifolia (SA)* -- Quendelblättriges Sandkraut"
"shop-2077-GewA¶hnl_Osterluzei_Aristolochia_clematitis.htm","Aristolochia clematitis* -- Gewöhnl. Osterluzei"
