"species","url"
"Tanacetum corymbosum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Tanacetum%20corymbosum"
"Geranium pratense","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Geranium%20pratense"
"Leonurus cardiaca","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Leonurus%20cardiaca"
"Salvia verticillata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Salvia%20verticillata"
"Sanguisorba minor","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Sanguisorba%20minor"
"Leucanthemum vulgare","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Leucanthemum%20vulgare"
"Plantago major","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Plantago%20major"
"Armeria maritima","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Armeria%20maritima"
"Cymbalaria muralis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Cymbalaria%20muralis"
"Lotus corniculatus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lotus%20corniculatus"
"Malva sylvestris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Malva%20sylvestris"
"Melica uniflora","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Melica%20uniflora"
"Potentilla recta","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Potentilla%20recta"
"Pseudofumaria lutea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Pseudofumaria%20lutea"
"Thymus pulegioides","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Thymus%20pulegioides"
"Allium ursinum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Allium%20ursinum"
"Leucojum aestivum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Leucojum%20aestivum"
"Potentilla sterilis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Potentilla%20sterilis"
"Pulmonaria officinalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Pulmonaria%20officinalis"
"Pulmonaria rubra","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Pulmonaria%20rubra"
"Salvia glutinosa","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Salvia%20glutinosa"
"Tanacetum macrophyllum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Tanacetum%20macrophyllum"
"Aconitum lycoctonum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Aconitum%20lycoctonum"
"Bryonia dioica","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Bryonia%20dioica"
"Carex ornithopoda","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20ornithopoda"
"Carex umbrosa","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20umbrosa"
"Crambe maritima","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Crambe%20maritima"
"Hierochloë odorata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Hierochloë%20odorata"
"Rosa spinosissima","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Rosa%20spinosissima"
"Seseli montanum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Seseli%20montanum"
"Agrimonia eupatoria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Agrimonia%20eupatoria"
"Allium vineale","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Allium%20vineale"
"Artemisia absinthium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Artemisia%20absinthium"
"Campanula rotundifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Campanula%20rotundifolia"
"Cichorium intybus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Cichorium%20intybus"
