"Species","Producer","URL"
"Caltha palustris","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/sumpf-dotterblume-caltha-palustris.html"
"Campanula bononiensis","Staudengärtnerei StaudenSpatz",NA
"Campanula cervicaria","Staudengärtnerei StaudenSpatz",NA
"Campanula cochleariifolia","Staudengärtnerei StaudenSpatz",NA
"Campanula glomerata","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/knaeul-glockenblume-campanula-glomerata.html"
"Campanula glomerata","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/Knaeul-Glockenblume-Joan-Elliot--Campanula-glomerata-.html"
"Campanula latifolia","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/wald-glockenblume-campanula-latifolia.html"
"Campanula patula","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/wiesen-glockenblume-campanula-patula.html"
"Campanula persicifolia","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/pfirsichblaettrige-glockenblume-campanula-persicifolia.html"
"Campanula persicifolia","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/pfirsichblaettrige-glockenblume-moerheimii-campanula-persicifolia.html"
"Campanula rapunculus","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/rapunzel-glockenblume-campanula-rapunculus.html"
"Campanula rhomboidalis","Staudengärtnerei StaudenSpatz",NA
"Campanula rotundifolia","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/rundblaettrige-glockenblume-campanula-rotundifolia.html"
"Campanula scheuchzeri","Staudengärtnerei StaudenSpatz",NA
"Campanula sibirica","Staudengärtnerei StaudenSpatz",NA
"Campanula trachelium","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/nessel-glockenblume-campanula-trachelium.html"
"Cardamine alpina","Staudengärtnerei StaudenSpatz",NA
"Cardamine amara","Staudengärtnerei StaudenSpatz",NA
"Cardamine bulbifera","Staudengärtnerei StaudenSpatz",NA
"Cardamine flexuosa","Staudengärtnerei StaudenSpatz",NA
"Cardamine impatiens","Staudengärtnerei StaudenSpatz",NA
"Cardamine pratensis","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/wiesen-schaumkraut-cardamine-pratensis.html"
"Carduus acanthoides","Staudengärtnerei StaudenSpatz",NA
"Carduus defloratus","Staudengärtnerei StaudenSpatz",NA
"Carduus nutans","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/nickende-distel-carduus-nutans.html"
"Carex acuta","Staudengärtnerei StaudenSpatz",NA
"Carex alba","Staudengärtnerei StaudenSpatz",NA
"Carex arenaria","Staudengärtnerei StaudenSpatz",NA
"Carex brizoides","Staudengärtnerei StaudenSpatz",NA
"Carex caryophyllea","Staudengärtnerei StaudenSpatz",NA
"Carex davalliana","Staudengärtnerei StaudenSpatz",NA
"Carex diandra","Staudengärtnerei StaudenSpatz",NA
"Carex digitata","Staudengärtnerei StaudenSpatz",NA
"Carex divulsa","Staudengärtnerei StaudenSpatz",NA
"Carex elata","Staudengärtnerei StaudenSpatz",NA
"Carex ericetorum","Staudengärtnerei StaudenSpatz",NA
"Carex flacca","Staudengärtnerei StaudenSpatz",NA
"Carex flava","Staudengärtnerei StaudenSpatz",NA
"Carex humilis","Staudengärtnerei StaudenSpatz",NA
"Carex leporina","Staudengärtnerei StaudenSpatz",NA
"Carex montana","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/berg-segge-carex-montana.html"
"Carex nigra","Staudengärtnerei StaudenSpatz",NA
"Carex obtusata","Staudengärtnerei StaudenSpatz",NA
"Carex ornithopoda","Staudengärtnerei StaudenSpatz",NA
"Carex panicea","Staudengärtnerei StaudenSpatz",NA
"Carex paniculata","Staudengärtnerei StaudenSpatz",NA
"Carex pendula","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/riesen-segge-carex-pendula.html"
"Carex pilulifera","Staudengärtnerei StaudenSpatz",NA
"Carex pseudocyperus","Staudengärtnerei StaudenSpatz",NA
"Carex remota","Staudengärtnerei StaudenSpatz",NA
"Carex riparia","Staudengärtnerei StaudenSpatz",NA
"Carex rostrata","Staudengärtnerei StaudenSpatz",NA
"Carex sempervirens","Staudengärtnerei StaudenSpatz",NA
